;Poniedziaˆek;Wtorek;Sroda;Czwartek;Piatek;Sobota;Niedziela
00:00-00:29;560;560;560;560;560;600;400
00:30-00:59;560;560;560;560;560;600;400
01:00-01:29;420;420;420;420;420;500;400
01:30-01:59;420;420;420;420;420;500;400
02:00-02:29;280;280;280;280;280;300;300
02:30-02:59;280;280;280;280;280;300;300
03:00-03:29;280;280;280;280;280;300;300
03:30-03:59;280;280;280;280;280;300;300
04:00-04:29;280;280;280;280;280;300;300
04:30-04:59;280;280;280;280;280;300;300
05:00-05:29;840;840;840;840;840;600;600
05:30-05:59;980;980;1120;1120;1120;600;600
06:00-06:29;12880;12880;14140;14140;14140;2800;2000
06:30-06:59;17500;17500;19880;19880;19880;2800;2000
07:00-07:29;24640;24640;27160;27160;27160;6600;3000
07:30-07:59;24640;24640;27160;27160;27160;6600;3000
08:00-08:29;27300;27300;30940;30940;30940;13800;5000
08:30-08:59;27300;27300;30940;30940;30940;13800;5000
09:00-09:29;27300;27300;30940;30940;30940;19800;8000
09:30-09:59;27300;27300;30940;30940;30940;19800;8000
10:00-10:29;18620;18620;22960;22960;22960;19800;8000
10:30-10:59;18620;18620;22960;22960;22960;19800;8000
11:00-11:29;15400;15400;18900;18900;18900;19800;8000
11:30-11:59;15400;15400;18900;18900;18900;19800;8000
12:00-12:29;15400;15400;18900;18900;18900;14200;6000
12:30-12:59;15400;15400;18900;18900;18900;14200;6000
13:00-13:29;15400;15400;18900;18900;18900;14200;6000
13:30-13:59;15400;15400;18900;18900;18900;14200;6000
14:00-14:29;15400;15400;18900;18900;18900;9400;4000
14:30-14:59;15400;15400;18900;18900;18900;9400;4000
15:00-15:29;18060;18060;20300;20300;20300;5600;2400
15:30-15:59;18060;18060;20300;20300;20300;5600;2400
16:00-16:29;19180;19180;22400;22400;22400;5400;2400
16:30-16:59;19180;19180;22400;22400;22400;5400;2400
17:00-17:29;17080;17080;20020;20020;20020;3000;2400
17:30-17:59;17080;17080;20020;20020;20020;3000;2400
18:00-18:29;13860;13860;16660;16660;16660;3000;2400
18:30-18:59;13860;13860;16660;16660;16660;3000;2400
19:00-19:29;7560;7560;9240;9240;9240;2400;2000
19:30-19:59;7560;7560;9240;9240;9240;2400;2000
20:00-20:29;2800;2800;2800;2800;2800;2000;1200
20:30-20:59;2800;2800;2800;2800;2800;2000;1200
21:00-21:29;1820;1820;1820;1820;1820;1600;800
21:30-21:59;1820;1820;1820;1820;1820;1600;800
22:00-22:29;1260;1260;1260;1260;1260;1600;800
22:30-22:59;1260;1260;1260;1260;1260;1600;800
23:00-23:29;840;840;840;840;840;1000;600
23:30-23:59;840;840;840;840;840;1000;600
5;0,8;;;;;;
10;0,8;;;;;;
15;0,9;;;;;;
20;0,9;;;;;;
25;1;;;;;;
30;1;;;;;;
35;1;;;;;;
40;1;;;;;;
45;1,1;;;;;;
50;1,1;;;;;;
55;1,2;;;;;;
60;1,2;;;;;;
